title,text,id,datatype,startdate,enddate,geometry.type,latitude,longitude
Hypericum perforatum,<a href="https://www.gbif.org/species/3189486" target="_blank">Voir sur GBIF</a>,9145c8d7-e0b2-4fde-ab26-2ce02a31d6f1,gbif,2024-07-02T16:15:54.000Z,2024-07-02T16:15:54.000Z,Point,44.720638,-0.385871
Gastrophysa polygoni,<a href="https://www.gbif.org/species/1048335" target="_blank">Voir sur GBIF</a>,86fa8379-9871-41cb-818b-5192cb1149f3,gbif,2024-07-02T15:50:41.000Z,2024-07-02T15:50:41.000Z,Point,44.715336,-0.380388
Armadillidium nasatum,<a href="https://www.gbif.org/species/2203739" target="_blank">Voir sur GBIF</a>,b9a2d7d3-48b2-456f-805a-af70658f4dcf,gbif,2024-07-02T15:41:42.000Z,2024-07-02T15:41:42.000Z,Point,44.715263,-0.380382
Lysimachia arvensis,<a href="https://www.gbif.org/species/8184903" target="_blank">Voir sur GBIF</a>,42ebd277-f0eb-40c9-be59-b4988da82772,gbif,2024-07-02T15:38:07.000Z,2024-07-02T15:38:07.000Z,Point,44.715263,-0.380382
Trifolium repens,<a href="https://www.gbif.org/species/5358748" target="_blank">Voir sur GBIF</a>,a0195bfd-5929-44e9-8ae8-646f384b1b02,gbif,2024-07-02T15:31:14.000Z,2024-07-02T15:31:14.000Z,Point,44.714893,-0.378367
Rhagonycha fulva,<a href="https://www.gbif.org/species/4429760" target="_blank">Voir sur GBIF</a>,fac45224-d830-42c3-b516-83cf0da17678,gbif,2024-07-02T15:28:55.000Z,2024-07-02T15:28:55.000Z,Point,44.714893,-0.378367
Plantago major,<a href="https://www.gbif.org/species/3189767" target="_blank">Voir sur GBIF</a>,50af2125-f0a6-46f8-89f1-1a3785e9afbd,gbif,2024-07-02T15:25:33.000Z,2024-07-02T15:25:33.000Z,Point,44.717133,-0.383678
Maniola jurtina,<a href="https://www.gbif.org/species/5135513" target="_blank">Voir sur GBIF</a>,bdd125d1-7eff-4ce6-95ed-b5681b28bf6d,gbif,2024-07-02T15:16:22.000Z,2024-07-02T15:16:22.000Z,Point,44.717136,-0.383681
Epirrhoe alternata,<a href="https://www.gbif.org/species/8361848" target="_blank">Voir sur GBIF</a>,4c4344d6-50c1-4db9-b2b0-27e5bf19a66e,gbif,2024-07-02T15:15:09.000Z,2024-07-02T15:15:09.000Z,Point,44.717136,-0.383681
Echium vulgare,<a href="https://www.gbif.org/species/2925892" target="_blank">Voir sur GBIF</a>,1b56b42b-d2e6-41d9-b144-51f9760570b4,gbif,2024-07-02T15:02:10.000Z,2024-07-02T15:02:10.000Z,Point,44.712711,-0.389404
Centaurea cyanus,<a href="https://www.gbif.org/species/3089561" target="_blank">Voir sur GBIF</a>,6a9977c4-e321-4ce2-986a-66a47d071900,gbif,2024-07-02T14:56:51.000Z,2024-07-02T14:56:51.000Z,Point,44.717175,-0.38372
Hypericum perforatum,<a href="https://www.gbif.org/species/3189486" target="_blank">Voir sur GBIF</a>,16b2773a-87f2-4397-a5a2-9dfdc129df3c,gbif,2024-07-02T14:45:57.000Z,2024-07-02T14:45:57.000Z,Point,44.710724,-0.387322
Trifolium repens,<a href="https://www.gbif.org/species/5358748" target="_blank">Voir sur GBIF</a>,aa97eb7f-fb1a-4c55-8b6f-3d829121f5b7,gbif,2024-07-02T14:41:23.000Z,2024-07-02T14:41:23.000Z,Point,44.717438,-0.384265
Cichorium intybus,<a href="https://www.gbif.org/species/5392252" target="_blank">Voir sur GBIF</a>,84310b4d-5cea-4cbc-9f51-f8f73bae2447,gbif,2024-07-02T14:39:47.000Z,2024-07-02T14:39:47.000Z,Point,44.717438,-0.384265
Trifolium repens,<a href="https://www.gbif.org/species/5358748" target="_blank">Voir sur GBIF</a>,fa52bd76-f8d1-4a14-8a6a-49650390ceaf,gbif,2024-07-02T14:27:25.000Z,2024-07-02T14:27:25.000Z,Point,44.717445,-0.384319
Trifolium repens,<a href="https://www.gbif.org/species/5358748" target="_blank">Voir sur GBIF</a>,0cc635dd-a8a9-44c3-835d-3529610f9dbd,gbif,2024-07-02T14:21:35.000Z,2024-07-02T14:21:35.000Z,Point,44.717487,-0.384356
Nezara viridula,<a href="https://www.gbif.org/species/2078852" target="_blank">Voir sur GBIF</a>,043f4251-705a-4af2-837e-4773fb70404a,gbif,2024-07-02T13:44:23.000Z,2024-07-02T13:44:23.000Z,Point,44.717426,-0.38425
Lymantria dispar,<a href="https://www.gbif.org/species/1820406" target="_blank">Voir sur GBIF</a>,ad7e4976-0a7e-4d67-ad44-7eb4bfdc929d,gbif,2024-07-02T12:03:10.000Z,2024-07-02T12:03:10.000Z,Point,44.717072,-0.387542
Podarcis muralis,<a href="https://www.gbif.org/species/2469188" target="_blank">Voir sur GBIF</a>,ac7be60e-66b1-408d-8e77-0d3ca1120b77,gbif,2024-06-30T15:49:08.000Z,2024-06-30T15:49:08.000Z,Point,44.72105,-0.373813
Noctua comes,<a href="https://www.gbif.org/species/1789730" target="_blank">Voir sur GBIF</a>,bf3c03cc-96d7-432e-af79-eb42c9fd00c1,gbif,2024-06-30T10:14:25.000Z,2024-06-30T10:14:25.000Z,Point,44.693216,-0.418788
Medicago lupulina,<a href="https://www.gbif.org/species/2965201" target="_blank">Voir sur GBIF</a>,5666e2a6-e410-4879-813c-ae1daed90ef0,gbif,2024-06-29T16:55:49.000Z,2024-06-29T16:55:49.000Z,Point,44.693212,-0.418665
Convolvulus arvensis,<a href="https://www.gbif.org/species/2928390" target="_blank">Voir sur GBIF</a>,b56c2acb-f893-420f-860f-27e0f2ff1234,gbif,2024-06-29T16:54:27.000Z,2024-06-29T16:54:27.000Z,Point,44.693283,-0.418424
