Date,NomFR,Heure,site,longitude,latitude
2024-07-24,Pipistrelle de Kuhl,3,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Petit Rhinolophe,22,Garenne,-0.3852939606,44.7161770169
2024-07-23,Noctule de Leisler,23,Aplomb,-0.3806054591,44.7167962612
2024-07-26,Pipistrelle commune,0,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle de Kuhl,22,Aplomb,-0.3806054591,44.7167962612
2024-03-08,Murin groupe Natterer,19,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle de Kuhl,5,Bas Glanan,-0.3770622611,44.7172574513
2024-03-08,Murin groupe Natterer,23,Château,-0.3834056854,44.7177627705
2024-05-30,Ecaille pudique,22,Garenne,-0.3852939606,44.7161770169
2024-05-30,Noctule de Leisler,22,Garenne,-0.3852939606,44.7161770169
2024-07-25,Noctule de Leisler,0,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Noctule de Leisler,4,Bas Glanan,-0.3770622611,44.7172574513
2024-03-09,Murin groupe Natterer,22,Entrée,-0.3853797913,44.7167335603
2024-07-26,Pipistrelle commune,22,Labat,-0.3820672631,44.7143621141
2024-07-25,Pipistrelle commune,2,Labat,-0.3820672631,44.7143621141
2024-07-25,Noctule de Leisler,2,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Barbastelle d'Europe,0,Garenne,-0.3852939606,44.7161770169
2024-06-01,Noctule de Leisler,2,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Noctule de Leisler,1,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Barbatiste pyreneen,17,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Pipistrelle de Kuhl,5,Bois,-0.3774109483,44.7149057142
2024-07-24,Pipistrelle de Kuhl,0,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle commune,6,Bois,-0.3774109483,44.7149057142
2024-07-24,Pipistrelle commune,22,Aplomb,-0.3806054591,44.7167962612
2024-05-30,Barbatiste pyreneen,18,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Pipistrelle de Kuhl,2,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle de Kuhl,5,Labat,-0.3820672631,44.7143621141
2024-07-23,Pipistrelle de Kuhl,22,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Barbatiste pyreneen,7,Garenne,-0.3852939606,44.7161770169
2024-07-25,Noctule de Leisler,0,Aplomb,-0.3806054591,44.7167962612
2024-03-07,Murin groupe Natterer,23,Château,-0.3834056854,44.7177627705
2024-06-01,Ecaille pudique,1,Garenne,-0.3852939606,44.7161770169
2024-07-26,Grand Rhinolophe,22,Labat,-0.3820672631,44.7143621141
2024-07-25,Serotine commune,2,Labat,-0.3820672631,44.7143621141
2024-05-31,Phaneroptere liliace,19,Garenne,-0.3852939606,44.7161770169
2024-03-08,Petit Rhinolophe,1,Château,-0.3834056854,44.7177627705
2024-07-26,Noctule de Leisler,5,Aplomb,-0.3806054591,44.7167962612
2024-07-03,Decticelle cotiere,23,Garenne,-0.3852939606,44.7161770169
2024-07-24,Pipistrelle de Kuhl,5,Labat,-0.3820672631,44.7143621141
2024-07-24,Pipistrelle de Kuhl,22,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Murin groupe Natterer,21,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Barbatiste pyreneen,20,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Noctule de Leisler,0,Aplomb,-0.3806054591,44.7167962612
2024-07-26,Pipistrelle de Kuhl,22,Aplomb,-0.3806054591,44.7167962612
2024-03-07,Murin groupe Natterer,23,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle commune,6,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Pipistrelle commune,4,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Ecaille pudique,0,Garenne,-0.3852939606,44.7161770169
2024-07-03,Decticelle cotiere,22,Garenne,-0.3852939606,44.7161770169
2024-03-08,Pipistrelle commune,0,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle commune,22,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Phaneroptere liliace,18,Bas Glanan,-0.3770622611,44.7172574513
2024-07-26,Noctule de Leisler,2,Aplomb,-0.3806054591,44.7167962612
2024-07-05,Lampyre sp.,22,Labat,-0.3820672631,44.7143621141
2024-03-08,Murin groupe Natterer,2,Entrée,-0.3853797913,44.7167335603
2024-05-30,Noctule de Leisler,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle commune,0,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Serotine commune,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Pipistrelle commune,0,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle commune,23,Aplomb,-0.3806054591,44.7167962612
