detection_count,Nom vernaculaire,Nom scientifique,title,site,enddate,startdate,latitude,longitude,id
1,Chevreuil,Capreolus capreolus,Chevreuil,Entrée,2024-03-14 18:23:40,2024-03-14 18:23:30,44.7166667,-0.3858333333333336,15bb2b22-5951-49e1-8a2b-291d3477611a
1,Chevreuil,Capreolus capreolus,Chevreuil,Trois chênes,2025-11-04 04:02:49,2025-11-04 04:02:49,44.71623800819026,-0.3791195154190064,948956e2-0610-41ec-ade4-c5522b4c3751
1,Mulot sylvestre,Apodemus sylvaticus,Mulot,Haie,2025-02-20 21:43:51,2025-02-20 21:43:39,44.71420607577128,-0.3821888090023773,afa05344-543e-4a0c-be8f-36bf51847245
1,Boeuf,Bos taurus,Vache,Pins francs,2025-01-20 16:09:34,2025-01-20 16:09:22,44.717941927426175,-0.3804337978363038,50044ddb-d063-4737-92db-d16f028bb18d
1,Mulot sylvestre,Apodemus sylvaticus,Mulot,Haie,2024-12-24 19:35:18,2024-12-24 19:34:07,44.71420607577128,-0.3821888090023773,4115277d-6293-4fd5-9b53-912ccddaaac0
2,Sanglier,Sus scrofa,2 Sangliers,Entrée,2025-10-03 03:04:06,2025-10-03 03:03:55,44.71681551663953,-0.3864687681198121,c454a315-5577-4681-ab92-d539fd37703d
3,Chevreuil,Capreolus capreolus,3 Chevreuils,Pins francs,2024-08-15 19:29:46,2024-08-15 19:29:46,44.717941927426175,-0.3804337978363038,1dd5e473-dfb0-4288-a298-a5def314318f
1,Chevreuil,Capreolus capreolus,Chevreuil,Bois,2024-05-04 16:43:36,2024-05-04 16:43:35,44.714905714238206,-0.3774109482765198,2b58d1a6-c583-473c-af73-8a35eea633c8
1,Boeuf,Bos taurus,2 Vaches,Pins francs,2025-03-26 16:36:51,2025-03-26 16:35:26,44.717941927426175,-0.3804337978363038,e193ad4a-8ca8-4ea8-a599-4b53863a3bb9
1,Renard roux,Vulpes vulpes,Renard,Jachère,2025-07-16 21:33:05,2025-07-16 21:31:07,44.71530426533436,-0.3802910873812105,94de46e7-f107-43c7-9aed-0386c765e3a4
1,Chevreuil,Capreolus capreolus,Chevreuil,Verger,2024-07-16 04:06:27,2024-07-16 04:06:27,44.716449571360464,-0.3833361910588828,7bf2e55b-0272-4436-9985-db85d22b0814
1,Mulot sylvestre,Apodemus sylvaticus,Mulot,Haie,2024-11-03 02:04:21,2024-11-03 02:04:10,44.71420607577128,-0.3821888090023773,7ebb7a01-a851-457b-a6a3-6cdd30337dd9
2,Sanglier,Sus scrofa,2 Sangliers,Pins francs,2024-07-14 15:54:48,2024-07-14 15:54:36,44.717941927426175,-0.3804337978363038,48bd03ad-8dc7-4fdb-af16-ee0251d75f1f
5,Sanglier,Sus scrofa,5 Sangliers,Entrée,2025-11-14 01:24:47,2025-11-14 01:23:17,44.71681551663953,-0.3864687681198121,9c561fe5-3334-4e4b-974e-fab41005eccb
