vernacular_name,scientific_name,groupe,uicn_world,uicn_france
Barbastelle d'Europe,Barbastella barbastellus,Chiroptère,NT,VU
Grand Murin,Myotis myotis,Chiroptère,LC,LC
Grand Rhinolophe,Rhinolophus ferrumequinum,Chiroptère,LC,VU
Grande Noctule,Nyctalus lasiopterus,Chiroptère,NT,DD
Minioptère de Schreibers,Miniopterus schreibersii,Chiroptère,EN,VU
Molosse de Cestoni,Tadarida teniotis,Chiroptère,LC,LC
Murin d'Alcathoe,Myotis alcathoe,Chiroptère,NT,DD
Murin de Bechstein,Myotis bechsteinii,Chiroptère,NT,VU
Murin de Brandt,Myotis brandtii,Chiroptère,LC,LC
Murin de Capaccini,Myotis capaccinii,Chiroptère,VU,EN
Murin de Daubenton,Myotis daubentonii,Chiroptère,LC,LC
Murin de Natterer,Myotis nattereri,Chiroptère,LC,LC
Murin à moustaches,Myotis mystacinus,Chiroptère,LC,LC
Murin à oreilles échancrées,Myotis emarginatus,Chiroptère,LC,LC
Noctule commune,Nyctalus noctula,Chiroptère,LC,NT
Noctule de Leisler,Nyctalus leisleri,Chiroptère,LC,LC
Oreillard de Montagne,Plecotus macrobullaris,Chiroptère,LC,DD
Oreillard gris,Plecotus austriacus,Chiroptère,LC,LC
Oreillard roux,Plecotus auritus,Chiroptère,LC,LC
Petit Murin,Myotis blythii,Chiroptère,LC,NT
Petit Rhinolophe,Rhinolophus hipposideros,Chiroptère,LC,NT
Pipistrelle commune,Pipistrellus pipistrellus,Chiroptère,LC,LC
Pipistrelle de Kuhl,Pipistrellus kuhlii,Chiroptère,LC,LC
Pipistrelle de Nathusius,Pipistrellus nathusii,Chiroptère,LC,LC
Pipistrelle pygmée,Pipistrellus pygmaeus,Chiroptère,LC,LC
Rhinolophe de Méhelÿ,Rhinolophus mehelyi,Chiroptère,VU,CR
Rhinolophe euryale,Rhinolophus euryale,Chiroptère,NT,EN
Sérotine bicolore,Vespertilio murinus,Chiroptère,LC,DD
Sérotine commune,Eptesicus serotinus,Chiroptère,LC,LC
Sérotine de Nilsson,Eptesicus nilssonii,Chiroptère,LC,LC
Vespertilion de Nathusius,Pipistrellus nathusii,Chiroptère,LC,LC
Vespère de Savi,Hypsugo savii,Chiroptère,LC,LC
Belette d'Europe,Mustela nivalis,Mammifère,LC,LC
Bison d'Europe,Bison bonasus,Mammifère,NT,RE
Blaireau européen,Meles meles,Mammifère,LC,LC
Bouquetin des Alpes,Capra ibex,Mammifère,LC,NT
Campagnol amphibie,Arvicola sapidus,Mammifère,VU,VU
Campagnol des champs,Microtus arvalis,Mammifère,LC,LC
Cerf élaphe,Cervus elaphus,Mammifère,LC,LC
Chacal doré,Canis aureus,Mammifère,LC,DD
Chamois,Rupicapra rupicapra,Mammifère,LC,LC
Chat forestier,Felis silvestris,Mammifère,LC,NT
Chevreuil,Capreolus capreolus,Mammifère,LC,LC
Chevreuil de Sibérie,Capreolus pygargus,Mammifère,LC,
Daim,Dama dama,Mammifère,LC,
Fouine,Martes foina,Mammifère,LC,LC
Genette commune,Genetta genetta,Mammifère,LC,LC
Hermine,Mustela erminea,Mammifère,LC,LC
Hérisson d'Europe,Erinaceus europaeus,Mammifère,LC,LC
Hérisson de Brandt,Erinaceus concolor,Mammifère,LC,
Lapin de garenne,Oryctolagus cuniculus,Mammifère,NT,NT
Lièvre d'Europe,Lepus europaeus,Mammifère,LC,LC
Loir gris,Glis glis,Mammifère,LC,LC
Loup gris,Canis lupus,Mammifère,LC,EN
Loutre d'Europe,Lutra lutra,Mammifère,LC,NT
Lynx boréal,Lynx lynx,Mammifère,LC,EN
Martre des pins,Martes martes,Mammifère,LC,LC
Mouflon,Ovis gmelini musimon,Mammifère,LC,
Musaraigne couronnée,Sorex coronatus,Mammifère,LC,LC
Muscardin,Muscardinus avellanarius,Mammifère,LC,LC
Ours brun,Ursus arctos,Mammifère,LC,EN
Phoque gris,Halichoerus grypus,Mammifère,LC,LC
Phoque veau-marin,Phoca vitulina,Mammifère,LC,LC
Porc-épic à crête,Hystrix cristata,Mammifère,LC,
Putois d'Europe,Mustela putorius,Mammifère,LC,NT
Ragondin,Myocastor coypus,Mammifère,LC,
Rat brun,Rattus norvegicus,Mammifère,LC,
Rat musqué,Ondatra zibethicus,Mammifère,LC,
Raton laveur,Procyon lotor,Mammifère,LC,
Renard roux,Vulpes vulpes,Mammifère,LC,LC
Sanglier,Sus scrofa,Mammifère,LC,LC
Souris domestique,Mus musculus,Mammifère,LC,
Taupe d'Europe,Talpa europaea,Mammifère,LC,LC
Vison d'Amérique,Neovison vison,Mammifère,LC,
Vison d'Europe,Mustela lutreola,Mammifère,CR,CR
Écureuil roux,Sciurus vulgaris,Mammifère,LC,LC
Accenteur alpin,Prunella collaris,Oiseau,LC,LC
Accenteur mouchet,Prunella modularis,Oiseau,LC,LC
Aigle botté,Hieraaetus pennatus,Oiseau,LC,LC
Aigle de Bonelli,Aquila fasciata,Oiseau,LC,EN
Aigle royal,Aquila chrysaetos,Oiseau,LC,LC
Aigrette garzette,Egretta garzetta,Oiseau,LC,LC
Alouette des champs,Alauda arvensis,Oiseau,LC,NT
Alouette lulu,Lullula arborea,Oiseau,LC,LC
Autour des palombes,Accipiter gentilis,Oiseau,LC,LC
Bec-croisé des sapins,Loxia curvirostra,Oiseau,LC,LC
Bergeronnette des ruisseaux,Motacilla cinerea,Oiseau,LC,LC
Bergeronnette grise,Motacilla alba,Oiseau,LC,LC
Bergeronnette printanière,Motacilla flava,Oiseau,LC,LC
Bihoreau gris,Nycticorax nycticorax,Oiseau,LC,LC
Blongios nain,Ixobrychus minutus,Oiseau,LC,NT
Bondrée apivore,Pernis apivorus,Oiseau,LC,LC
Bouscarle de Cetti,Cettia cetti,Oiseau,LC,LC
Bouvreuil pivoine,Pyrrhula pyrrhula,Oiseau,LC,NT
Bruant des roseaux,Emberiza schoeniclus,Oiseau,LC,NT
Bruant fou,Emberiza cia,Oiseau,LC,LC
Bruant jaune,Emberiza citrinella,Oiseau,LC,NT
Bruant ortolan,Emberiza hortulana,Oiseau,LC,VU
Bruant proyer,Emberiza calandra,Oiseau,LC,NT
Bruant zizi,Emberiza cirlus,Oiseau,LC,LC
Busard Saint-Martin,Circus cyaneus,Oiseau,LC,NT
Busard cendré,Circus pygargus,Oiseau,LC,NT
Busard des roseaux,Circus aeruginosus,Oiseau,LC,LC
Buse pattue,Buteo lagopus,Oiseau,LC,
Buse variable,Buteo buteo,Oiseau,LC,LC
Butor étoilé,Botaurus stellaris,Oiseau,LC,VU
Bécasse des bois,Scolopax rusticola,Oiseau,LC,LC
Bécassine des marais,Gallinago gallinago,Oiseau,LC,VU
Caille des blés,Coturnix coturnix,Oiseau,LC,LC
Canard chipeau,Mareca strepera,Oiseau,LC,LC
Canard colvert,Anas platyrhynchos,Oiseau,LC,LC
Canard siffleur,Mareca penelope,Oiseau,LC,LC
